,TV,newspaper,radio,sales
1,230.1,69.2,37.8,22.1
2,44.5,45.1,39.3,10.4
3,17.2,69.3,45.9,9.3
4,151.5,58.5,41.3,18.5
5,180.8,58.4,10.8,12.9
6,8.7,75.0,48.9,7.2
7,57.5,23.5,32.8,11.8
8,120.2,11.6,19.6,13.2
9,8.6,1.0,2.1,4.8
10,199.8,21.2,2.6,10.6
11,66.1,24.2,5.8,8.6
12,214.7,4.0,24.0,17.4
13,23.8,65.9,35.1,9.2
14,97.5,7.2,7.6,9.7
15,204.1,46.0,32.9,19.0
16,195.4,52.9,47.7,22.4
17,67.8,114.0,36.6,12.5
18,281.4,55.8,39.6,24.4
19,69.2,18.3,20.5,11.3
20,147.3,19.1,23.9,14.6
21,218.4,53.4,27.7,18.0
22,237.4,23.5,5.1,12.5
23,13.2,49.6,15.9,5.6
24,228.3,26.2,16.9,15.5
25,62.3,18.3,12.6,9.7
26,262.9,19.5,3.5,12.0
27,142.9,12.6,29.3,15.0
28,240.1,22.9,16.7,15.9
29,248.8,22.9,27.1,18.9
30,70.6,40.8,16.0,10.5
31,292.9,43.2,28.3,21.4
32,112.9,38.6,17.4,11.9
33,97.2,30.0,1.5,9.6
34,265.6,0.3,20.0,17.4
35,95.7,7.4,1.4,9.5
36,290.7,8.5,4.1,12.8
37,266.9,5.0,43.8,25.4
38,74.7,45.7,49.4,14.7
39,43.1,35.1,26.7,10.1
40,228.0,32.0,37.7,21.5
41,202.5,31.6,22.3,16.6
42,177.0,38.7,33.4,17.1
43,293.6,1.8,27.7,20.7
44,206.9,26.4,8.4,12.9
45,25.1,43.3,25.7,8.5
46,175.1,31.5,22.5,14.9
47,89.7,35.7,9.9,10.6
48,239.9,18.5,41.5,23.2
49,227.2,49.9,15.8,14.8
50,66.9,36.8,11.7,9.7
51,199.8,34.6,3.1,11.4
52,100.4,3.6,9.6,10.7
53,216.4,39.6,41.7,22.6
54,182.6,58.7,46.2,21.2
55,262.7,15.9,28.8,20.2
56,198.9,60.0,49.4,23.7
57,7.3,41.4,28.1,5.5
58,136.2,16.6,19.2,13.2
59,210.8,37.7,49.6,23.8
60,210.7,9.3,29.5,18.4
61,53.5,21.4,2.0,8.1
62,261.3,54.7,42.7,24.2
63,239.3,27.3,15.5,15.7
64,102.7,8.4,29.6,14.0
65,131.1,28.9,42.8,18.0
66,69.0,0.9,9.3,9.3
67,31.5,2.2,24.6,9.5
68,139.3,10.2,14.5,13.4
69,237.4,11.0,27.5,18.9
70,216.8,27.2,43.9,22.3
71,199.1,38.7,30.6,18.3
72,109.8,31.7,14.3,12.4
73,26.8,19.3,33.0,8.8
74,129.4,31.3,5.7,11.0
75,213.4,13.1,24.6,17.0
76,16.9,89.4,43.7,8.7
77,27.5,20.7,1.6,6.9
78,120.5,14.2,28.5,14.2
79,5.4,9.4,29.9,5.3
80,116.0,23.1,7.7,11.0
81,76.4,22.3,26.7,11.8
82,239.8,36.9,4.1,12.3
83,75.3,32.5,20.3,11.3
84,68.4,35.6,44.5,13.6
85,213.5,33.8,43.0,21.7
86,193.2,65.7,18.4,15.2
87,76.3,16.0,27.5,12.0
88,110.7,63.2,40.6,16.0
89,88.3,73.4,25.5,12.9
90,109.8,51.4,47.8,16.7
91,134.3,9.3,4.9,11.2
92,28.6,33.0,1.5,7.3
93,217.7,59.0,33.5,19.4
94,250.9,72.3,36.5,22.2
95,107.4,10.9,14.0,11.5
96,163.3,52.9,31.6,16.9
97,197.6,5.9,3.5,11.7
98,184.9,22.0,21.0,15.5
99,289.7,51.2,42.3,25.4
100,135.2,45.9,41.7,17.2
101,222.4,49.8,4.3,11.7
102,296.4,100.9,36.3,23.8
103,280.2,21.4,10.1,14.8
104,187.9,17.9,17.2,14.7
105,238.2,5.3,34.3,20.7
106,137.9,59.0,46.4,19.2
107,25.0,29.7,11.0,7.2
108,90.4,23.2,0.3,8.7
109,13.1,25.6,0.4,5.3
110,255.4,5.5,26.9,19.8
111,225.8,56.5,8.2,13.4
112,241.7,23.2,38.0,21.8
113,175.7,2.4,15.4,14.1
114,209.6,10.7,20.6,15.9
115,78.2,34.5,46.8,14.6
116,75.1,52.7,35.0,12.6
117,139.2,25.6,14.3,12.2
118,76.4,14.8,0.8,9.4
119,125.7,79.2,36.9,15.9
120,19.4,22.3,16.0,6.6
121,141.3,46.2,26.8,15.5
122,18.8,50.4,21.7,7.0
123,224.0,15.6,2.4,11.6
124,123.1,12.4,34.6,15.2
125,229.5,74.2,32.3,19.7
126,87.2,25.9,11.8,10.6
127,7.8,50.6,38.9,6.6
128,80.2,9.2,0.0,8.8
129,220.3,3.2,49.0,24.7
130,59.6,43.1,12.0,9.7
131,0.7,8.7,39.6,1.6
132,265.2,43.0,2.9,12.7
133,8.4,2.1,27.2,5.7
134,219.8,45.1,33.5,19.6
135,36.9,65.6,38.6,10.8
136,48.3,8.5,47.0,11.6
137,25.6,9.3,39.0,9.5
138,273.7,59.7,28.9,20.8
139,43.0,20.5,25.9,9.6
140,184.9,1.7,43.9,20.7
141,73.4,12.9,17.0,10.9
142,193.7,75.6,35.4,19.2
143,220.5,37.9,33.2,20.1
144,104.6,34.4,5.7,10.4
145,96.2,38.9,14.8,11.4
146,140.3,9.0,1.9,10.3
147,240.1,8.7,7.3,13.2
148,243.2,44.3,49.0,25.4
149,38.0,11.9,40.3,10.9
150,44.7,20.6,25.8,10.1
151,280.7,37.0,13.9,16.1
152,121.0,48.7,8.4,11.6
153,197.6,14.2,23.3,16.6
154,171.3,37.7,39.7,19.0
155,187.8,9.5,21.1,15.6
156,4.1,5.7,11.6,3.2
157,93.9,50.5,43.5,15.3
158,149.8,24.3,1.3,10.1
159,11.7,45.2,36.9,7.3
160,131.7,34.6,18.4,12.9
161,172.5,30.7,18.1,14.4
162,85.7,49.3,35.8,13.3
163,188.4,25.6,18.1,14.9
164,163.5,7.4,36.8,18.0
165,117.2,5.4,14.7,11.9
166,234.5,84.8,3.4,11.9
167,17.9,21.6,37.6,8.0
168,206.8,19.4,5.2,12.2
169,215.4,57.6,23.6,17.1
170,284.3,6.4,10.6,15.0
171,50.0,18.4,11.6,8.4
172,164.5,47.4,20.9,14.5
173,19.6,17.0,20.1,7.6
174,168.4,12.8,7.1,11.7
175,222.4,13.1,3.4,11.5
176,276.9,41.8,48.9,27.0
177,248.4,20.3,30.2,20.2
178,170.2,35.2,7.8,11.7
179,276.7,23.7,2.3,11.8
180,165.6,17.6,10.0,12.6
181,156.6,8.3,2.6,10.5
182,218.5,27.4,5.4,12.2
183,56.2,29.7,5.7,8.7
184,287.6,71.8,43.0,26.2
185,253.8,30.0,21.3,17.6
186,205.0,19.6,45.1,22.6
187,139.5,26.6,2.1,10.3
188,191.1,18.2,28.7,17.3
189,286.0,3.7,13.9,15.9
190,18.7,23.4,12.1,6.7
191,39.5,5.8,41.1,10.8
192,75.5,6.0,10.8,9.9
193,17.2,31.6,4.1,5.9
194,166.8,3.6,42.0,19.6
195,149.7,6.0,35.6,17.3
196,38.2,13.8,3.7,7.6
197,94.2,8.1,4.9,9.7
198,177.0,6.4,9.3,12.8
199,283.6,66.2,42.0,25.5
200,232.1,8.7,8.6,13.4
1,46.02,13.840000000000002,7.56,4.420000000000001
2,8.9,9.020000000000001,7.859999999999999,2.08
3,3.44,13.86,9.18,1.8600000000000003
4,30.3,11.700000000000001,8.26,3.7
5,36.160000000000004,11.68,2.16,2.58
6,1.74,15.0,9.780000000000001,1.4400000000000002
7,11.5,4.7,6.56,2.3600000000000003
8,24.040000000000003,2.32,3.9200000000000004,2.64
9,1.72,0.2,0.42000000000000004,0.96
10,39.96000000000001,4.24,0.52,2.12
11,13.219999999999999,4.84,1.16,1.72
12,42.94,0.8,4.800000000000001,3.48
13,4.760000000000001,13.180000000000001,7.0200000000000005,1.8399999999999999
14,19.5,1.4400000000000002,1.52,1.94
15,40.82,9.200000000000001,6.58,3.8000000000000003
16,39.080000000000005,10.58,9.540000000000001,4.4799999999999995
17,13.56,22.8,7.32,2.5
18,56.28,11.16,7.920000000000001,4.88
19,13.840000000000002,3.66,4.1000000000000005,2.2600000000000002
20,29.460000000000004,3.8200000000000003,4.78,2.92
21,43.68000000000001,10.68,5.54,3.6
22,47.480000000000004,4.7,1.02,2.5
23,2.64,9.920000000000002,3.18,1.1199999999999999
24,45.660000000000004,5.24,3.38,3.1
25,12.46,3.66,2.52,1.94
26,52.58,3.9000000000000004,0.7000000000000001,2.4000000000000004
27,28.580000000000002,2.52,5.86,3.0
28,48.02,4.58,3.34,3.18
29,49.760000000000005,4.58,5.420000000000001,3.78
30,14.12,8.16,3.2,2.1
31,58.58,8.64,5.66,4.28
32,22.580000000000002,7.720000000000001,3.48,2.3800000000000003
33,19.44,6.0,0.30000000000000004,1.92
34,53.120000000000005,0.06,4.0,3.48
35,19.14,1.4800000000000002,0.27999999999999997,1.9000000000000001
36,58.14,1.7000000000000002,0.82,2.5600000000000005
37,53.379999999999995,1.0,8.76,5.08
38,14.940000000000001,9.14,9.88,2.94
39,8.620000000000001,7.0200000000000005,5.34,2.02
40,45.6,6.4,7.540000000000001,4.3
41,40.5,6.32,4.46,3.3200000000000003
42,35.4,7.740000000000001,6.68,3.4200000000000004
43,58.720000000000006,0.36000000000000004,5.54,4.14
44,41.38,5.28,1.6800000000000002,2.58
45,5.0200000000000005,8.66,5.140000000000001,1.7000000000000002
46,35.02,6.300000000000001,4.5,2.9800000000000004
47,17.94,7.140000000000001,1.9800000000000002,2.12
48,47.980000000000004,3.7,8.3,4.64
49,45.44,9.98,3.16,2.9600000000000004
50,13.380000000000003,7.359999999999999,2.34,1.94
51,39.96000000000001,6.920000000000001,0.6200000000000001,2.2800000000000002
52,20.080000000000002,0.7200000000000001,1.92,2.14
53,43.28,7.920000000000001,8.340000000000002,4.5200000000000005
54,36.52,11.740000000000002,9.24,4.24
55,52.54,3.18,5.760000000000001,4.04
56,39.78,12.0,9.88,4.74
57,1.46,8.28,5.620000000000001,1.1
58,27.24,3.3200000000000003,3.84,2.64
59,42.160000000000004,7.540000000000001,9.920000000000002,4.760000000000001
60,42.14,1.8600000000000003,5.9,3.6799999999999997
61,10.700000000000001,4.28,0.4,1.62
62,52.260000000000005,10.940000000000001,8.540000000000001,4.84
63,47.86000000000001,5.460000000000001,3.1,3.14
64,20.540000000000003,1.6800000000000002,5.920000000000001,2.8000000000000003
65,26.22,5.78,8.56,3.6
66,13.8,0.18000000000000002,1.8600000000000003,1.8600000000000003
67,6.300000000000001,0.44000000000000006,4.920000000000001,1.9000000000000001
68,27.860000000000003,2.04,2.9000000000000004,2.68
69,47.480000000000004,2.2,5.5,3.78
70,43.36000000000001,5.44,8.78,4.46
71,39.82,7.740000000000001,6.120000000000001,3.66
72,21.96,6.34,2.8600000000000003,2.4800000000000004
73,5.36,3.8600000000000003,6.6000000000000005,1.7600000000000002
74,25.880000000000003,6.260000000000001,1.1400000000000001,2.2
75,42.68000000000001,2.62,4.920000000000001,3.4000000000000004
76,3.38,17.880000000000003,8.74,1.74
77,5.5,4.14,0.32000000000000006,1.3800000000000001
78,24.1,2.84,5.7,2.84
79,1.08,1.8800000000000001,5.98,1.06
80,23.200000000000003,4.62,1.54,2.2
81,15.280000000000001,4.46,5.34,2.3600000000000003
82,47.96000000000001,7.38,0.82,2.4600000000000004
83,15.06,6.5,4.0600000000000005,2.2600000000000002
84,13.680000000000001,7.120000000000001,8.9,2.72
85,42.7,6.76,8.6,4.34
86,38.64,13.14,3.6799999999999997,3.04
87,15.26,3.2,5.5,2.4000000000000004
88,22.14,12.64,8.120000000000001,3.2
89,17.66,14.680000000000001,5.1000000000000005,2.58
90,21.96,10.280000000000001,9.56,3.34
91,26.860000000000003,1.8600000000000003,0.9800000000000001,2.2399999999999998
92,5.720000000000001,6.6000000000000005,0.30000000000000004,1.46
93,43.54,11.8,6.7,3.88
94,50.18000000000001,14.46,7.300000000000001,4.44
95,21.480000000000004,2.18,2.8000000000000003,2.3000000000000003
96,32.660000000000004,10.58,6.32,3.38
97,39.52,1.1800000000000002,0.7000000000000001,2.34
98,36.980000000000004,4.4,4.2,3.1
99,57.94,10.240000000000002,8.459999999999999,5.08
100,27.04,9.18,8.340000000000002,3.44
101,44.480000000000004,9.96,0.86,2.34
102,59.28,20.180000000000003,7.26,4.760000000000001
103,56.04,4.28,2.02,2.9600000000000004
104,37.580000000000005,3.58,3.44,2.94
105,47.64,1.06,6.859999999999999,4.14
106,27.580000000000002,11.8,9.28,3.84
107,5.0,5.94,2.2,1.4400000000000002
108,18.080000000000002,4.64,0.06,1.74
109,2.62,5.120000000000001,0.08000000000000002,1.06
110,51.080000000000005,1.1,5.38,3.9600000000000004
111,45.160000000000004,11.3,1.64,2.68
112,48.34,4.64,7.6000000000000005,4.36
113,35.14,0.48,3.08,2.8200000000000003
114,41.92,2.14,4.12,3.18
115,15.64,6.9,9.36,2.92
116,15.02,10.540000000000001,7.0,2.52
117,27.84,5.120000000000001,2.8600000000000003,2.44
118,15.280000000000001,2.9600000000000004,0.16000000000000003,1.8800000000000001
119,25.14,15.840000000000002,7.38,3.18
120,3.88,4.46,3.2,1.32
121,28.260000000000005,9.24,5.36,3.1
122,3.7600000000000002,10.08,4.34,1.4000000000000001
123,44.800000000000004,3.12,0.48,2.32
124,24.62,2.4800000000000004,6.920000000000001,3.04
125,45.900000000000006,14.840000000000002,6.46,3.94
126,17.44,5.18,2.3600000000000003,2.12
127,1.56,10.120000000000001,7.78,1.32
128,16.040000000000003,1.8399999999999999,0.0,1.7600000000000002
129,44.06,0.6400000000000001,9.8,4.94
130,11.920000000000002,8.620000000000001,2.4000000000000004,1.94
131,0.13999999999999999,1.74,7.920000000000001,0.32000000000000006
132,53.04,8.6,0.58,2.54
133,1.6800000000000002,0.42000000000000004,5.44,1.1400000000000001
134,43.96000000000001,9.020000000000001,6.7,3.9200000000000004
135,7.38,13.12,7.720000000000001,2.16
136,9.66,1.7000000000000002,9.4,2.32
137,5.120000000000001,1.8600000000000003,7.800000000000001,1.9000000000000001
138,54.74,11.940000000000001,5.78,4.16
139,8.6,4.1000000000000005,5.18,1.92
140,36.980000000000004,0.34,8.78,4.14
141,14.680000000000001,2.58,3.4000000000000004,2.18
142,38.74,15.12,7.08,3.84
143,44.1,7.58,6.640000000000001,4.0200000000000005
144,20.92,6.88,1.1400000000000001,2.08
145,19.240000000000002,7.78,2.9600000000000004,2.2800000000000002
146,28.060000000000002,1.8,0.38,2.06
147,48.02,1.74,1.46,2.64
148,48.64,8.86,9.8,5.08
149,7.6000000000000005,2.3800000000000003,8.06,2.18
150,8.940000000000001,4.12,5.16,2.02
151,56.14,7.4,2.7800000000000002,3.2200000000000006
152,24.200000000000003,9.740000000000002,1.6800000000000002,2.32
153,39.52,2.84,4.66,3.3200000000000003
154,34.260000000000005,7.540000000000001,7.940000000000001,3.8000000000000003
155,37.56,1.9000000000000001,4.220000000000001,3.12
156,0.82,1.1400000000000001,2.32,0.6400000000000001
157,18.78,10.100000000000001,8.700000000000001,3.0600000000000005
158,29.960000000000004,4.86,0.26,2.02
159,2.34,9.040000000000001,7.38,1.46
160,26.34,6.920000000000001,3.6799999999999997,2.58
161,34.5,6.140000000000001,3.6200000000000006,2.8800000000000003
162,17.14,9.86,7.16,2.66
163,37.68,5.120000000000001,3.6200000000000006,2.9800000000000004
164,32.7,1.4800000000000002,7.359999999999999,3.6
165,23.44,1.08,2.94,2.3800000000000003
166,46.900000000000006,16.96,0.68,2.3800000000000003
167,3.58,4.32,7.5200000000000005,1.6
168,41.36000000000001,3.88,1.04,2.44
169,43.080000000000005,11.520000000000001,4.720000000000001,3.4200000000000004
170,56.86000000000001,1.2800000000000002,2.12,3.0
171,10.0,3.6799999999999997,2.32,1.6800000000000002
172,32.9,9.48,4.18,2.9000000000000004
173,3.9200000000000004,3.4000000000000004,4.0200000000000005,1.52
174,33.68,2.5600000000000005,1.42,2.34
175,44.480000000000004,2.62,0.68,2.3000000000000003
176,55.379999999999995,8.36,9.780000000000001,5.4
177,49.68000000000001,4.0600000000000005,6.04,4.04
178,34.04,7.040000000000001,1.56,2.34
179,55.34,4.74,0.45999999999999996,2.3600000000000003
180,33.12,3.5200000000000005,2.0,2.52
181,31.32,1.6600000000000001,0.52,2.1
182,43.7,5.48,1.08,2.44
183,11.240000000000002,5.94,1.1400000000000001,1.74
184,57.52000000000001,14.36,8.6,5.24
185,50.760000000000005,6.0,4.260000000000001,3.5200000000000005
186,41.0,3.9200000000000004,9.020000000000001,4.5200000000000005
187,27.900000000000002,5.32,0.42000000000000004,2.06
188,38.22,3.64,5.74,3.4600000000000004
189,57.2,0.7400000000000001,2.7800000000000002,3.18
190,3.74,4.68,2.42,1.34
191,7.9,1.16,8.22,2.16
192,15.100000000000001,1.2000000000000002,2.16,1.9800000000000002
193,3.44,6.32,0.82,1.1800000000000002
194,33.36000000000001,0.7200000000000001,8.4,3.9200000000000004
195,29.939999999999998,1.2000000000000002,7.120000000000001,3.4600000000000004
196,7.640000000000001,2.7600000000000002,0.7400000000000001,1.52
197,18.84,1.62,0.9800000000000001,1.94
198,35.4,1.2800000000000002,1.8600000000000003,2.5600000000000005
199,56.720000000000006,13.240000000000002,8.4,5.1000000000000005
200,46.42,1.74,1.72,2.68
1,69.03,20.76,11.339999999999998,6.63
2,13.35,13.53,11.79,3.12
3,5.159999999999999,20.79,13.77,2.79
4,45.449999999999996,17.55,12.389999999999999,5.55
5,54.24,17.52,3.24,3.87
6,2.61,22.5,14.669999999999998,2.16
7,17.25,7.05,9.839999999999998,3.54
8,36.06,3.48,5.88,3.9599999999999995
9,2.5799999999999996,0.3,0.63,1.44
10,59.94,6.359999999999999,0.78,3.1799999999999997
11,19.83,7.26,1.74,2.5799999999999996
12,64.41,1.2,7.199999999999999,5.22
13,7.14,19.77,10.53,2.76
14,29.25,2.16,2.28,2.9099999999999997
15,61.23,13.799999999999999,9.87,5.7
16,58.62,15.87,14.31,6.72
17,20.34,34.199999999999996,10.98,3.75
18,84.41999999999999,16.74,11.88,7.319999999999999
19,20.76,5.49,6.1499999999999995,3.39
20,44.190000000000005,5.73,7.169999999999999,4.38
21,65.52,16.02,8.309999999999999,5.3999999999999995
22,71.22,7.05,1.5299999999999998,3.75
23,3.9599999999999995,14.879999999999999,4.77,1.68
24,68.49,7.859999999999999,5.069999999999999,4.6499999999999995
25,18.689999999999998,5.49,3.78,2.9099999999999997
26,78.86999999999999,5.85,1.05,3.5999999999999996
27,42.87,3.78,8.79,4.5
28,72.03,6.869999999999999,5.01,4.77
29,74.64,6.869999999999999,8.13,5.669999999999999
30,21.179999999999996,12.239999999999998,4.8,3.15
31,87.86999999999999,12.96,8.49,6.419999999999999
32,33.87,11.58,5.22,3.57
33,29.16,9.0,0.44999999999999996,2.88
34,79.68,0.09,6.0,5.22
35,28.71,2.22,0.42,2.85
36,87.21,2.55,1.2299999999999998,3.84
37,80.07,1.5,13.139999999999999,7.619999999999999
38,22.41,13.71,14.819999999999999,4.409999999999999
39,12.93,10.53,8.01,3.03
40,68.39999999999999,9.6,11.31,6.45
41,60.75,9.48,6.69,4.98
42,53.1,11.610000000000001,10.02,5.13
43,88.08,0.54,8.309999999999999,6.21
44,62.07,7.919999999999999,2.52,3.87
45,7.53,12.989999999999998,7.709999999999999,2.55
46,52.529999999999994,9.45,6.75,4.47
47,26.91,10.71,2.97,3.1799999999999997
48,71.97,5.55,12.45,6.96
49,68.16,14.969999999999999,4.74,4.44
50,20.07,11.04,3.51,2.9099999999999997
51,59.94,10.38,0.9299999999999999,3.42
52,30.12,1.08,2.88,3.2099999999999995
53,64.92,11.88,12.51,6.78
54,54.779999999999994,17.61,13.860000000000001,6.359999999999999
55,78.80999999999999,4.77,8.64,6.06
56,59.67,18.0,14.819999999999999,7.109999999999999
57,2.19,12.42,8.43,1.65
58,40.85999999999999,4.98,5.76,3.9599999999999995
59,63.24,11.31,14.879999999999999,7.14
60,63.209999999999994,2.79,8.85,5.52
61,16.05,6.419999999999999,0.6,2.4299999999999997
62,78.39,16.41,12.81,7.26
63,71.79,8.19,4.6499999999999995,4.71
64,30.81,2.52,8.88,4.2
65,39.33,8.67,12.839999999999998,5.3999999999999995
66,20.7,0.27,2.79,2.79
67,9.45,0.66,7.38,2.85
68,41.79,3.0599999999999996,4.35,4.02
69,71.22,3.3,8.25,5.669999999999999
70,65.04,8.16,13.17,6.69
71,59.73,11.610000000000001,9.18,5.49
72,32.94,9.51,4.29,3.7199999999999998
73,8.04,5.79,9.9,2.64
74,38.82,9.39,1.71,3.3
75,64.02,3.9299999999999997,7.38,5.1
76,5.069999999999999,26.82,13.110000000000001,2.61
77,8.25,6.21,0.48,2.07
78,36.15,4.26,8.549999999999999,4.26
79,1.62,2.82,8.969999999999999,1.5899999999999999
80,34.8,6.930000000000001,2.31,3.3
81,22.92,6.69,8.01,3.54
82,71.94,11.069999999999999,1.2299999999999998,3.69
83,22.59,9.75,6.09,3.39
84,20.52,10.68,13.35,4.08
85,64.05,10.139999999999999,12.9,6.51
86,57.959999999999994,19.71,5.52,4.56
87,22.889999999999997,4.8,8.25,3.5999999999999996
88,33.21,18.96,12.18,4.8
89,26.49,22.02,7.6499999999999995,3.87
90,32.94,15.419999999999998,14.339999999999998,5.01
91,40.29,2.79,1.47,3.36
92,8.58,9.9,0.44999999999999996,2.19
93,65.30999999999999,17.7,10.049999999999999,5.819999999999999
94,75.27,21.689999999999998,10.95,6.659999999999999
95,32.22,3.27,4.2,3.4499999999999997
96,48.99,15.87,9.48,5.069999999999999
97,59.279999999999994,1.77,1.05,3.51
98,55.47,6.6,6.3,4.6499999999999995
99,86.91,15.36,12.69,7.619999999999999
100,40.559999999999995,13.77,12.51,5.159999999999999
101,66.72,14.939999999999998,1.2899999999999998,3.51
102,88.91999999999999,30.27,10.889999999999999,7.14
103,84.05999999999999,6.419999999999999,3.03,4.44
104,56.37,5.369999999999999,5.159999999999999,4.409999999999999
105,71.46,1.5899999999999999,10.29,6.21
106,41.37,17.7,13.92,5.76
107,7.5,8.91,3.3,2.16
108,27.12,6.96,0.09,2.61
109,3.9299999999999997,7.68,0.12,1.5899999999999999
110,76.62,1.65,8.069999999999999,5.94
111,67.74,16.95,2.4599999999999995,4.02
112,72.50999999999999,6.96,11.4,6.54
113,52.709999999999994,0.72,4.62,4.2299999999999995
114,62.879999999999995,3.2099999999999995,6.180000000000001,4.77
115,23.46,10.35,14.04,4.38
116,22.529999999999998,15.81,10.5,3.78
117,41.76,7.68,4.29,3.6599999999999997
118,22.92,4.44,0.24,2.82
119,37.71,23.76,11.069999999999999,4.77
120,5.819999999999999,6.69,4.8,1.9799999999999998
121,42.39,13.860000000000001,8.04,4.6499999999999995
122,5.64,15.12,6.51,2.1
123,67.2,4.68,0.72,3.48
124,36.93,3.7199999999999998,10.38,4.56
125,68.85,22.26,9.69,5.909999999999999
126,26.16,7.77,3.54,3.1799999999999997
127,2.34,15.18,11.67,1.9799999999999998
128,24.06,2.76,0.0,2.64
129,66.09,0.96,14.7,7.409999999999999
130,17.88,12.93,3.5999999999999996,2.9099999999999997
131,0.21,2.61,11.88,0.48
132,79.55999999999999,12.9,0.87,3.8099999999999996
133,2.52,0.63,8.16,1.71
134,65.94,13.53,10.049999999999999,5.88
135,11.069999999999999,19.679999999999996,11.58,3.24
136,14.489999999999998,2.55,14.1,3.48
137,7.68,2.79,11.7,2.85
138,82.11,17.91,8.67,6.24
139,12.9,6.1499999999999995,7.77,2.88
140,55.47,0.51,13.17,6.21
141,22.02,3.87,5.1,3.27
142,58.10999999999999,22.679999999999996,10.62,5.76
143,66.14999999999999,11.37,9.96,6.03
144,31.379999999999995,10.319999999999999,1.71,3.12
145,28.86,11.67,4.44,3.42
146,42.09,2.6999999999999997,0.57,3.0900000000000003
147,72.03,2.61,2.19,3.9599999999999995
148,72.96,13.29,14.7,7.619999999999999
149,11.4,3.57,12.089999999999998,3.27
150,13.41,6.180000000000001,7.74,3.03
151,84.21,11.1,4.17,4.83
152,36.3,14.61,2.52,3.48
153,59.279999999999994,4.26,6.99,4.98
154,51.39,11.31,11.91,5.7
155,56.34,2.85,6.33,4.68
156,1.2299999999999998,1.71,3.48,0.96
157,28.17,15.149999999999999,13.049999999999999,4.59
158,44.940000000000005,7.29,0.39,3.03
